Player,Pos,Squad,Recommendation_Score,shooting_Standard_Gls,passing_Ast,shooting_Expected_xG,passing_xAG
Daniel Muñoz,DF,Crystal Palace,19.4,4,5,4.9,5.5
Rayan Aït-Nouri,DF,Wolves,19.2,4,7,2.7,5.5
Trent Alexander-Arnold,DF,Liverpool,18.2,3,6,1.9,7.3
Antonee Robinson,DF,Fulham,14.899999999999999,0,10,0.7,4.2
Pedro Porro,DF,Tottenham,14.6,2,6,1.6,5.0
