Player,Pos,Squad,IsolationForest_Outlier,LOF_Outlier,Both_Methods_Outlier,LOF_Score
Chiedozie Ogbene,FW,Ipswich Town,False,True,False,2.0206477223572117
Chiquinho,MF,Wolves,False,False,False,1.0963416130115728
Chris Richards,DF,Crystal Palace,False,False,False,1.14060097356326
Chris Wood,FW,Nott'ham Forest,True,False,False,1.5321160359504373
Christian Eriksen,MF,Manchester Utd,False,False,False,1.4826587384709071
Christian Nørgaard,MF,Brentford,False,False,False,1.1863185399565241
Christian Walton,GK,Ipswich Town,False,False,False,1.6059022712898332
Christopher Nkunku,FW,Chelsea,False,False,False,1.1331586995736078
Claudio Echeverri,FW,Manchester City,False,False,False,0.9976759098489193
Cody Gakpo,FW,Liverpool,False,False,False,1.0528781750685696
Cole Palmer,MF,Chelsea,True,True,True,1.6140765095012644
Conor Bradley,DF,Liverpool,False,False,False,1.148793672771738
Conor Chaplin,MF,Ipswich Town,False,False,False,1.2966970857258575
Conor Coady,DF,Leicester City,False,False,False,1.2945656234246854
Conor Townsend,DF,Ipswich Town,False,False,False,1.0804337365942205
Craig Dawson,DF,Wolves,False,False,False,1.1517014527803937
Cristian Romero,DF,Tottenham,False,False,False,1.1017487949472158
Crysencio Summerville,FW,West Ham,False,False,False,1.1178246101063123
Curtis Jones,MF,Liverpool,False,False,False,1.12483657682541
Daichi Kamada,MF,Crystal Palace,False,False,False,1.0876119777065034
Dan Burn,DF,Newcastle Utd,False,False,False,1.043855115398688
Dane Scarlett,FW,Tottenham,False,False,False,1.115295249231463
Dango Ouattara,FW,Bournemouth,False,False,False,1.1025153682244258
Daniel Bentley,GK,Wolves,False,True,False,1.9434967881090313
Daniel Jebbison,FW,Bournemouth,False,False,False,1.2003389759489296
Daniel Muñoz,DF,Crystal Palace,True,False,False,1.1800307249523159
Daniel Podence,MF,Wolves,False,False,False,1.0062971650806647
Danilo,MF,Nott'ham Forest,False,True,False,2.031665015917979
Danny Ings,FW,West Ham,False,False,False,1.3028937386825676
Danny Ward,GK,Leicester City,False,True,False,1.911286207362617
Danny Welbeck,FW,Brighton,False,False,False,1.2992819226431642
Dara O'Shea,DF,Ipswich Town,False,False,False,1.0768074633704063
Darwin Núñez,FW,Liverpool,False,False,False,1.1556620442366932
David Brooks,FW,Bournemouth,False,False,False,1.148713462733254
David Raya,GK,Arsenal,False,False,False,1.142849829136482
Dean Henderson,GK,Crystal Palace,False,False,False,1.1586800427016428
Dean Huijsen,DF,Bournemouth,False,False,False,1.0720599417942627
Declan Rice,MF,Arsenal,True,False,False,1.2615856064514892
Dejan Kulusevski,MF,Tottenham,False,False,False,1.1528258059655434
Destiny Udogie,DF,Tottenham,False,False,False,1.081042713543145
Diego Carlos,DF,Aston Villa,False,False,False,1.0838829719991039
Diego Gómez,MF,Brighton,False,False,False,1.1628445315597202
Diogo Dalot,DF,Manchester Utd,False,False,False,1.1002391579187962
Diogo Jota,FW,Liverpool,False,False,False,1.182961408187697
Divin Mubama,FW,Manchester City,False,False,False,0.9935721886538982
Djed Spence,DF,Tottenham,False,False,False,1.0513885938902043
Dominic Calvert-Lewin,FW,Everton,False,False,False,1.3125400775162215
Dominic Solanke,FW,Tottenham,False,False,False,1.1414526532127973
Dominik Szoboszlai,MF,Liverpool,True,False,False,1.1872162383849154
Donyell Malen,FW,Aston Villa,False,False,False,1.045086533449415
Dwight McNeil,MF,Everton,False,False,False,1.3930072008490235
Eberechi Eze,MF,Crystal Palace,True,False,False,1.4768889475234321
Eddie Nketiah,FW,Crystal Palace,False,False,False,1.205724074405316
Ederson,GK,Manchester City,False,False,False,1.2785545553236706
