antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'passing_xAG_category=Low', 'shooting_Expected_xG_category=Low'})",frozenset({'passing_Ast_category=Low'}),0.2787456445993031,0.524390243902439,0.2700348432055749,0.9687500000000001,1.8473837209302326,1.0,0.12386334664740375,15.219512195122004,0.6359669627551815,0.5065359477124184,0.934294871794872,0.7418500830564785
"frozenset({'shooting_Standard_Gls_category=Low', 'passing_xAG_category=Low', 'shooting_Expected_xG_category=Low'})",frozenset({'passing_Ast_category=Low'}),0.2770034843205575,0.524390243902439,0.2682926829268293,0.9685534591194969,1.847008922041831,1.0,0.12303475822214668,15.124390243902441,0.6342825848849946,0.5032679738562091,0.9338816319948395,0.7400906830481205
"frozenset({'shooting_Standard_Gls_category=Low', 'passing_xAG_category=Low'})",frozenset({'passing_Ast_category=Low'}),0.3310104529616725,0.524390243902439,0.3205574912891986,0.9684210526315788,1.8467564259485922,1.0,0.14697883912637033,15.06097560975605,0.6853770380434782,0.5993485342019544,0.9336032388663965,0.7898583668473509
frozenset({'passing_xAG_category=Low'}),frozenset({'passing_Ast_category=Low'}),0.37456445993031356,0.524390243902439,0.3623693379790941,0.9674418604651164,1.844889129259059,1.0,0.1659513894790516,14.608013937282273,0.7322289479322905,0.6753246753246754,0.9315444245676806,0.8292358803986711
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_xAG_category=Low'})","frozenset({'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low'})",0.25609756097560976,0.397212543554007,0.24738675958188153,0.9659863945578231,2.4319131161236425,1.0,0.14566159598878217,17.721951219512174,0.7915031170630339,0.6094420600858367,0.943572804844481,0.7943967060508413
"frozenset({'passing_xAG_category=Low', 'shooting_Expected_xG_category=Low'})","frozenset({'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low'})",0.2787456445993031,0.397212543554007,0.2682926829268293,0.9625000000000001,2.423135964912281,1.0,0.15757141643093886,16.074332171893204,0.8142919882050317,0.6581196581196582,0.9377890173410407,0.818969298245614
"frozenset({'passing_xAG_category=High', 'shooting_Standard_Gls_category=High'})",frozenset({'shooting_Expected_xG_category=High'}),0.20905923344947736,0.32752613240418116,0.19686411149825783,0.9416666666666667,2.87508865248227,1.0,0.12839174932316771,11.528123444499748,0.8245682429534914,0.5794871794871794,0.9132556131260794,0.7713652482269504
"frozenset({'passing_xAG_category=High', 'passing_Ast_category=High', 'shooting_Standard_Gls_category=High'})",frozenset({'shooting_Expected_xG_category=High'}),0.17421602787456447,0.32752613240418116,0.16376306620209058,0.9399999999999998,2.8699999999999997,1.0,0.10670276438951545,11.207897793263617,0.7890295358649788,0.48453608247422675,0.9107772020725386,0.72
"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low', 'passing_xAG_category=Low'})",frozenset({'shooting_Expected_xG_category=Low'}),0.24738675958188153,0.343205574912892,0.22996515679442509,0.9295774647887324,2.7085150496889967,1.0,0.14506064174628805,9.326480836236932,0.8381383277216611,0.6376811594202898,0.8927784211902714,0.799814113105026
"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Standard_Gls_category=Low', 'passing_xAG_category=Low'})",frozenset({'shooting_Expected_xG_category=Low'}),0.25435540069686413,0.343205574912892,0.23519163763066203,0.9246575342465753,2.69417982059662,1.0,0.14789544610229577,8.717453278428879,0.8433367947386639,0.6490384615384615,0.8852875985610987,0.8049683610319172
